Date,Time,Location,Home Club
03/01/2024,05:08:00,Planet Fitness Worcester - Worcester,NA
03/04/2024,10:46:00,Planet Fitness Newburyport MA - Newburyport,X
03/05/2024,09:53:00,Planet Fitness Newburyport MA - Newburyport,X
04/05/2024,07:59:00,Planet Fitness Worcester - Worcester,NA
04/07/2024,09:26:00,Planet Fitness Worcester - Worcester,NA
04/08/2024,08:50:00,Planet Fitness Worcester - Worcester,NA
04/13/2024,09:21:00,Planet Fitness Worcester - Worcester,NA
04/15/2024,08:22:00,Planet Fitness Worcester - Worcester,NA
04/21/2024,08:43:00,Planet Fitness Worcester - Worcester,NA
04/25/2024,15:34:00,Planet Fitness Worcester - Worcester,NA
04/26/2024,08:47:00,Planet Fitness Worcester - Worcester,NA
04/27/2024,08:17:00,Planet Fitness Newburyport MA - Newburyport,X
04/29/2024,07:32:00,Planet Fitness Worcester - Worcester,NA
04/30/2024,11:50:00,Planet Fitness Worcester - Worcester,NA
05/01/2024,09:01:00,Planet Fitness Worcester - Worcester,NA
05/03/2024,08:32:00,Planet Fitness Worcester - Worcester,NA
05/06/2024,07:38:00,Planet Fitness Worcester - Worcester,NA
05/09/2024,10:27:00,Planet Fitness Newburyport MA - Newburyport,X
05/13/2024,10:52:00,Planet Fitness Newburyport MA - Newburyport,X
05/16/2024,08:33:00,Planet Fitness Newburyport MA - Newburyport,X
05/18/2024,07:57:00,Planet Fitness Newburyport MA - Newburyport,X
05/19/2024,13:45:00,Planet Fitness Newburyport MA - Newburyport,X
05/24/2024,07:51:00,Planet Fitness Newburyport MA - Newburyport,X
05/26/2024,15:02:00,Planet Fitness Falmouth MA - Falmouth,NA
05/27/2024,05:15:00,Planet Fitness Falmouth MA - Falmouth,NA
06/02/2024,12:07:00,Planet Fitness Falmouth MA - Falmouth,NA
06/02/2024,10:38:00,Planet Fitness Falmouth MA - Falmouth,NA
06/05/2024,09:58:00,Planet Fitness Falmouth MA - Falmouth,NA
06/07/2024,09:34:00,Planet Fitness Falmouth MA - Falmouth,NA
06/10/2024,06:03:00,Planet Fitness Falmouth MA - Falmouth,NA
06/12/2024,10:02:00,Planet Fitness Falmouth MA - Falmouth,NA
06/13/2024,17:04:00,Planet Fitness Falmouth MA - Falmouth,NA
06/14/2024,10:56:00,Planet Fitness Falmouth MA - Falmouth,NA
06/15/2024,08:06:00,Planet Fitness Falmouth MA - Falmouth,NA
06/16/2024,11:32:00,Planet Fitness Falmouth MA - Falmouth,NA
06/18/2024,12:27:00,Planet Fitness Falmouth MA - Falmouth,NA
06/19/2024,08:26:00,Planet Fitness Falmouth MA - Falmouth,NA
06/20/2024,17:20:00,Planet Fitness Falmouth MA - Falmouth,NA
06/21/2024,11:59:00,Planet Fitness Falmouth MA - Falmouth,NA
06/23/2024,12:00:00,Planet Fitness Falmouth MA - Falmouth,NA
06/23/2024,10:05:00,Planet Fitness Falmouth MA - Falmouth,NA
06/25/2024,08:55:00,Planet Fitness Mashpee MA - Mashpee,NA
06/26/2024,11:15:00,Planet Fitness Mashpee MA - Mashpee,NA
06/27/2024,13:17:00,Planet Fitness Falmouth MA - Falmouth,NA
06/28/2024,10:48:00,Planet Fitness Falmouth MA - Falmouth,NA
06/30/2024,09:27:00,Planet Fitness Falmouth MA - Falmouth,NA
07/01/2024,05:53:00,Planet Fitness Falmouth MA - Falmouth,NA
07/02/2024,07:19:00,Planet Fitness Falmouth MA - Falmouth,NA
07/04/2024,07:12:00,Planet Fitness Falmouth MA - Falmouth,NA
07/06/2024,08:24:00,Planet Fitness Falmouth MA - Falmouth,NA
